Date	ID-Product	Units	Revenue Discount	Net Cost Equivalent COGS
12/6/2017	S-30-18	62	0.4375	0.99
8/25/2017	B-30-3	11	0.12	0.99
12/5/2017	FK-20-10	108	0.55	0.92
12/20/2017	Q-30-17	6	0.05	1.01
5/17/2017	BWK-20-4	10	0.12	1.02
8/24/2017	GY-60-12	27	0.3225	0.98
4/20/2017	A-10-1	54	0.4375	0.97
12/6/2017	MB-30-16	1	0	0.99
12/24/2017	A-10-1	91	0.5	0.96
11/26/2017	Y-10-20	60	0.4375	0.95
6/27/2017	MB-30-16	1	0	1
8/16/2017	DS-50-8	2	0.02	1.03
7/25/2017	BK-40-2	1	0	1.03
12/15/2017	DS-50-8	63	0.4375	1.01
11/29/2017	BK-40-2	4	0.04	1.03
8/3/2017	MB-30-16	108	0.55	0.96
5/6/2017	Y-10-20	1	0	1.01
8/17/2017	BK-40-2	2	0.02	1.03
5/28/2017	JB-50-14	10	0.12	0.99
12/8/2017	Q-30-17	2	0.02	1.02
11/21/2017	DS-50-8	72	0.4375	0.97
7/10/2017	TK-40-19	78	0.5	0.96
12/24/2017	DS-50-8	45	0.4375	1.02
12/11/2017	B-30-3	148	0.575	0.9
8/15/2017	CY-60-6	2	0.02	0.99
12/11/2017	BK-40-2	3	0.03	0.99
12/17/2017	S-30-18	1	0	1.01
12/9/2017	DS-50-8	120	0.575	0.96
12/2/2017	D-30-11	26	0.3225	0.98
5/26/2017	BK-40-2	9	0.05	1.03
11/18/2017	BK-40-2	2	0.02	1
12/24/2017	S-30-18	2	0.02	1.03
12/2/2017	JB-50-14	11	0.12	0.99
7/8/2017	EK-40-9	132	0.575	0.94
12/6/2017	D-30-11	4	0.04	1.02
6/13/2017	JS-50-15	2	0.02	0.99
11/27/2017	D-30-11	1	0	1.01
12/24/2017	BK-40-2	1	0	1
12/21/2017	D-30-11	144	0.575	0.89
11/13/2017	Y-10-20	144	0.575	0.88
11/21/2017	BK-40-2	1	0	1.02
6/10/2017	FK-20-10	108	0.55	0.94
12/10/2017	JB-50-14	2	0.02	0.99
12/6/2017	BK-40-2	4	0.04	0.99
7/19/2017	JB-50-14	9	0.05	0.99
3/30/2017	DS-50-8	1	0	1.03
4/6/2017	BK-40-2	1	0	1.02
4/18/2017	GY-60-13	2	0.02	1.03
5/30/2017	EK-40-9	36	0.4375	0.99
8/3/2017	Q-30-17	3	0.03	1.03
5/18/2017	D-30-11	2	0.02	1.03
4/29/2017	Y-10-20	4	0.04	0.99
5/21/2017	Q-30-17	134	0.575	0.93
12/22/2017	EK-40-9	4	0.04	0.99
3/12/2017	Q-30-17	2	0.02	1
5/11/2017	Y-10-20	127	0.575	0.94
4/9/2017	C-30-5	115	0.55	0.95
12/8/2017	D-30-11	1	0	1.03
5/6/2017	BK-40-2	13	0.12	1.01
7/29/2017	JB-50-14	9	0.05	1.01
12/8/2017	B-30-3	32	0.3225	1
4/7/2017	EK-40-9	2	0.02	1.02
11/26/2017	EK-40-9	3	0.03	1
7/8/2017	GY-60-13	2	0.02	0.99
12/7/2017	GY-60-12	132	0.575	0.96
6/3/2017	JB-50-14	144	0.575	0.93
12/4/2017	EK-40-9	1	0	0.99
8/9/2017	JS-50-15	37	0.4375	1.02
12/7/2017	C-30-5	60	0.4375	0.97
3/25/2017	BK-40-2	60	0.4375	1.01
12/2/2017	A-10-1	72	0.4375	0.94
5/12/2017	JB-50-14	72	0.4375	0.98
8/25/2017	DS-50-8	147	0.575	0.92
8/11/2017	BK-40-2	60	0.4375	1.01
5/3/2017	Y-10-20	36	0.4375	1.02
12/1/2017	D-30-11	1	0	1.01
12/24/2017	D-30-11	72	0.4375	0.95
11/20/2017	MB-30-16	62	0.4375	0.96
7/2/2017	GY-60-12	96	0.5	1.02
11/18/2017	DS-50-8	1	0	1.02
9/3/2017	BK-40-2	36	0.4375	1.01
12/7/2017	DS-50-8	1	0	1.03
12/16/2017	MB-30-16	1	0	1
8/29/2017	S-30-18	10	0.12	1
5/16/2017	DS-50-8	9	0.05	1.01
12/22/2017	JB-50-14	2	0.02	0.99
11/30/2017	EK-40-9	12	0.12	1.01
12/24/2017	Y-10-20	3	0.03	0.99
11/19/2017	JB-50-14	108	0.55	0.96
11/26/2017	GY-60-13	9	0.05	1.03
12/17/2017	A-10-1	6	0.05	1
5/19/2017	BK-40-2	84	0.5	0.98
8/18/2017	BK-40-2	3	0.03	1.01
7/10/2017	BK-40-2	1	0	1
3/18/2017	JB-50-14	46	0.4375	0.99
4/18/2017	Q-30-17	4	0.04	0.99
7/11/2017	DS-50-8	3	0.03	0.99
2/10/2017	Y-10-20	72	0.4375	1.02
9/17/2017	Q-30-17	120	0.575	0.94
5/30/2017	GY-60-12	10	0.12	1.03
10/25/2017	B-30-3	2	0.02	1.02
4/13/2017	D-30-11	2	0.02	1.03
5/19/2017	Q-30-17	1	0	1.03
4/16/2017	BWK-20-4	3	0.03	0.99
11/20/2017	A-10-1	24	0.225	1.02
1/25/2017	JB-50-14	72	0.4375	0.98
6/16/2017	DS-50-8	1	0	1.01
7/17/2017	Q-30-17	96	0.5	1.02
12/4/2017	JB-50-14	2	0.02	1.02
12/17/2017	JS-50-15	9	0.05	1.02
12/16/2017	BK-40-2	1	0	1.03
6/5/2017	JB-50-14	120	0.575	0.97
9/2/2017	Y-10-20	27	0.3225	0.98
4/15/2017	BK-40-2	2	0.02	1.02
4/3/2017	JB-50-14	4	0.04	0.99
11/29/2017	C-30-5	12	0.12	1.01
11/12/2017	MB-30-16	72	0.4375	0.97
12/4/2017	JB-50-14	120	0.575	0.91
2/13/2017	DS-50-8	1	0	1
12/2/2017	MB-30-16	132	0.575	0.94
12/21/2017	Q-30-17	36	0.4375	1.01
5/22/2017	CB-10-7	2	0.02	1.02
7/13/2017	TK-40-19	151	0.575	0.96
5/17/2017	BK-40-2	3	0.03	0.99
6/26/2017	JB-50-14	15	0.225	1
12/21/2017	TK-40-19	11	0.12	1
4/26/2017	JB-50-14	3	0.03	1.03
6/28/2017	C-30-5	87	0.5	1.03
8/2/2017	BK-40-2	108	0.55	0.96
12/22/2017	Q-30-17	134	0.575	0.97
7/26/2017	BK-40-2	2	0.02	1.02
6/14/2017	EK-40-9	8	0.05	1
12/10/2017	D-30-11	1	0	1.03
12/2/2017	EK-40-9	150	0.575	0.94
7/5/2017	BK-40-2	2	0.02	0.99
12/13/2017	JS-50-15	1	0	1.03
12/22/2017	Q-30-17	4	0.04	1.01
4/15/2017	BK-40-2	3	0.03	1.01
2/13/2017	TK-40-19	39	0.4375	1.01
6/10/2017	A-10-1	1	0	1.01
12/10/2017	BK-40-2	2	0.02	0.99
6/2/2017	JB-50-14	38	0.4375	0.99
12/12/2017	D-30-11	10	0.12	0.99
2/20/2017	MB-30-16	10	0.12	0.99
12/17/2017	JB-50-14	50	0.4375	0.98
11/27/2017	S-30-18	36	0.4375	1.02
12/7/2017	S-30-18	2	0.02	1.01
11/24/2017	GY-60-12	77	0.5	0.99
12/6/2017	JB-50-14	1	0	1.02
12/16/2017	GY-60-12	1	0	1.03
12/5/2017	A-10-1	108	0.55	0.98
6/7/2017	MB-30-16	1	0	1.03
4/24/2017	JB-50-14	2	0.02	1
3/23/2017	Y-10-20	114	0.55	0.98
4/15/2017	JS-50-15	32	0.3225	0.98
12/17/2017	MB-30-16	8	0.05	1
12/15/2017	JB-50-14	108	0.55	0.94
12/6/2017	EK-40-9	13	0.12	1
12/13/2017	S-30-18	4	0.04	0.99
12/22/2017	FK-20-10	10	0.12	0.99
12/19/2017	DS-50-8	144	0.575	0.91
12/17/2017	JB-50-14	20	0.225	0.99
4/24/2017	C-30-5	10	0.12	1.03
12/3/2017	Q-30-17	3	0.03	1.02
4/11/2017	A-10-1	1	0	0.99
11/23/2017	JB-50-14	10	0.12	1.02
5/19/2017	CY-60-6	72	0.4375	0.98
11/25/2017	MB-30-16	74	0.4375	0.97
8/9/2017	A-10-1	3	0.03	1.01
12/17/2017	CY-60-6	56	0.4375	0.98
11/12/2017	BK-40-2	141	0.575	0.95
5/6/2017	JB-50-14	3	0.03	1
5/16/2017	DS-50-8	3	0.03	0.99
12/15/2017	JB-50-14	35	0.4375	1.01
11/17/2017	JS-50-15	132	0.575	0.91
2/12/2017	GY-60-12	7	0.05	1.03
7/18/2017	JB-50-14	11	0.12	1.02
8/17/2017	D-30-11	1	0	0.99
4/20/2017	BK-40-2	72	0.4375	0.98
5/3/2017	Q-30-17	8	0.05	1.02
4/13/2017	MB-30-16	3	0.03	1.03
7/2/2017	JB-50-14	12	0.12	0.99
11/27/2017	EK-40-9	2	0.02	1
6/21/2017	JS-50-15	8	0.05	1.02
1/29/2017	BK-40-2	2	0.02	1.02
7/18/2017	C-30-5	2	0.02	1.02
12/5/2017	D-30-11	84	0.5	0.99
12/15/2017	JB-50-14	24	0.225	1
3/19/2017	Q-30-17	11	0.12	0.99
7/17/2017	D-30-11	2	0.02	1.02
5/8/2017	D-30-11	3	0.03	1
5/13/2017	DS-50-8	109	0.55	0.94
11/19/2017	BK-40-2	15	0.225	0.99
9/13/2017	MB-30-16	7	0.05	1
11/26/2017	Y-10-20	134	0.575	0.94
3/20/2017	JB-50-14	1	0	1
3/22/2017	BK-40-2	2	0.02	1.01
7/25/2017	BWK-20-4	96	0.5	0.94
8/15/2017	JS-50-15	132	0.575	0.94
11/20/2017	C-30-5	2	0.02	1
7/1/2017	C-30-5	106	0.55	0.96
8/16/2017	DS-50-8	127	0.575	0.97
8/29/2017	FK-20-10	72	0.4375	0.97
12/4/2017	S-30-18	14	0.12	1.03
8/29/2017	Y-10-20	94	0.5	0.95
12/3/2017	S-30-18	2	0.02	1
8/9/2017	B-30-3	156	0.575	0.93
12/19/2017	CY-60-6	2	0.02	1.02
1/21/2017	JB-50-14	19	0.225	0.99
12/19/2017	CB-10-7	1	0	1.03
12/19/2017	JB-50-14	8	0.05	1.01
11/13/2017	JS-50-15	87	0.5	1
6/8/2017	EK-40-9	10	0.12	1
12/19/2017	CY-60-6	144	0.575	0.91
12/14/2017	BK-40-2	4	0.04	1.01
6/1/2017	S-30-18	60	0.4375	0.98
12/6/2017	A-10-1	2	0.02	1.03
11/9/2017	BK-40-2	7	0.05	1.01
7/20/2017	Y-10-20	28	0.3225	1.02
12/11/2017	D-30-11	35	0.4375	1
12/16/2017	BK-40-2	1	0	1.02
6/28/2017	CY-60-6	2	0.02	0.99
11/15/2017	JB-50-14	2	0.02	1.01
5/11/2017	S-30-18	10	0.12	1.02
7/25/2017	C-30-5	10	0.12	1.01
1/14/2017	S-30-18	10	0.12	1.03
7/2/2017	EK-40-9	4	0.04	1
11/27/2017	DS-50-8	9	0.05	1
7/27/2017	Y-10-20	48	0.4375	0.98
12/8/2017	C-30-5	1	0	1.03
12/8/2017	JB-50-14	10	0.12	1.03
10/31/2017	Q-30-17	2	0.02	1
12/3/2017	BWK-20-4	24	0.225	1.03
12/18/2017	JB-50-14	108	0.55	0.96
7/20/2017	MB-30-16	4	0.04	1.02
11/23/2017	Y-10-20	52	0.4375	1
7/7/2017	JS-50-15	4	0.04	1
12/14/2017	MB-30-16	1	0	1
12/7/2017	Q-30-17	2	0.02	1
12/22/2017	S-30-18	9	0.05	1
3/5/2017	EK-40-9	2	0.02	1.03
12/24/2017	JB-50-14	1	0	1.01
11/21/2017	DS-50-8	12	0.12	1.03
12/1/2017	CB-10-7	12	0.12	1.01
8/27/2017	DS-50-8	10	0.12	0.99
12/7/2017	GY-60-13	2	0.02	1
3/1/2017	MB-30-16	2	0.02	1
12/14/2017	FK-20-10	2	0.02	1.03
12/19/2017	JB-50-14	2	0.02	1.02
7/3/2017	BK-40-2	1	0	1.03
12/8/2017	D-30-11	45	0.4375	1.01
12/24/2017	JB-50-14	106	0.55	0.95
8/16/2017	EK-40-9	1	0	1.02
5/2/2017	Y-10-20	144	0.575	0.91
7/25/2017	BK-40-2	4	0.04	1.01
11/29/2017	C-30-5	1	0	1.02
11/30/2017	FK-20-10	21	0.225	1
12/9/2017	DS-50-8	2	0.02	0.99
11/28/2017	JB-50-14	3	0.03	0.99
3/6/2017	EK-40-9	2	0.02	1
12/3/2017	D-30-11	48	0.4375	1.02
11/17/2017	BWK-20-4	1	0	1
8/8/2017	MB-30-16	4	0.04	1.01
6/19/2017	TK-40-19	3	0.03	1.03
9/16/2017	GY-60-13	10	0.12	0.99
5/1/2017	DS-50-8	132	0.575	0.93
4/10/2017	Y-10-20	1	0	1.02
6/7/2017	A-10-1	34	0.3225	1.02
12/12/2017	S-30-18	47	0.4375	0.98
4/25/2017	JS-50-15	144	0.575	0.91
11/27/2017	FK-20-10	9	0.05	1
12/22/2017	MB-30-16	156	0.575	0.95
11/25/2017	D-30-11	120	0.575	0.97
11/27/2017	BK-40-2	4	0.04	1.03
6/23/2017	FK-20-10	6	0.05	0.99
12/6/2017	BWK-20-4	89	0.5	0.98
8/11/2017	MB-30-16	2	0.02	1.01
8/5/2017	BK-40-2	132	0.575	0.97
12/11/2017	FK-20-10	53	0.4375	0.95
7/30/2017	A-10-1	121	0.575	0.93
5/23/2017	Y-10-20	1	0	1.03
5/12/2017	MB-30-16	159	0.575	0.9
12/3/2017	B-30-3	4	0.04	0.99
5/22/2017	D-30-11	9	0.05	1.01
12/22/2017	D-30-11	98	0.5	1
7/10/2017	BK-40-2	60	0.4375	0.98
12/17/2017	MB-30-16	4	0.04	1.03
11/13/2017	DS-50-8	11	0.12	1
5/26/2017	TK-40-19	9	0.05	1.02
10/25/2017	C-30-5	60	0.4375	0.97
11/23/2017	BK-40-2	120	0.575	0.93
12/20/2017	BK-40-2	144	0.575	0.91
5/6/2017	BWK-20-4	60	0.4375	0.98
12/22/2017	Q-30-17	84	0.5	1
11/30/2017	JB-50-14	9	0.05	1.03
6/16/2017	JB-50-14	1	0	0.99
12/3/2017	JB-50-14	132	0.575	0.97
7/20/2017	DS-50-8	125	0.575	0.92
11/29/2017	EK-40-9	36	0.4375	1.01
12/13/2017	BK-40-2	110	0.55	0.96
12/1/2017	Q-30-17	9	0.05	1
10/12/2017	MB-30-16	7	0.05	1.03
5/2/2017	BK-40-2	10	0.12	1
12/18/2017	MB-30-16	3	0.03	1.03
1/6/2017	GY-60-12	9	0.05	1
12/14/2017	Q-30-17	3	0.03	0.99
12/24/2017	DS-50-8	9	0.05	0.99
12/8/2017	JB-50-14	144	0.575	0.9
12/15/2017	DS-50-8	1	0	1.02
11/13/2017	A-10-1	2	0.02	0.99
12/6/2017	DS-50-8	1	0	0.99
12/15/2017	Y-10-20	100	0.55	0.96
12/19/2017	JB-50-14	60	0.4375	1.01
6/11/2017	Q-30-17	132	0.575	0.96
6/16/2017	B-30-3	3	0.03	1.01
5/5/2017	FK-20-10	10	0.12	1
6/29/2017	D-30-11	120	0.575	0.92
12/20/2017	BK-40-2	84	0.5	0.96
11/14/2017	EK-40-9	1	0	1.01
12/12/2017	BK-40-2	132	0.575	0.95
8/8/2017	JB-50-14	120	0.575	0.97
12/24/2017	JB-50-14	2	0.02	1.01
12/11/2017	JS-50-15	48	0.4375	1.03
4/28/2017	Q-30-17	11	0.12	0.99
4/6/2017	Q-30-17	11	0.12	1.02
12/12/2017	BK-40-2	72	0.4375	0.98
8/21/2017	BK-40-2	1	0	1.02
12/18/2017	Y-10-20	53	0.4375	0.96
12/5/2017	Q-30-17	120	0.575	0.95
12/6/2017	S-30-18	40	0.4375	1.02
4/5/2017	CY-60-6	60	0.4375	0.98
12/12/2017	BK-40-2	10	0.12	1.02
6/18/2017	Q-30-17	11	0.12	1
7/17/2017	Q-30-17	120	0.575	0.93
11/28/2017	D-30-11	2	0.02	1.03
12/1/2017	MB-30-16	2	0.02	1.02
6/6/2017	JB-50-14	1	0	1.03
6/8/2017	BK-40-2	2	0.02	1.03
12/20/2017	JB-50-14	3	0.03	1.03
5/20/2017	FK-20-10	120	0.575	0.91
6/8/2017	Y-10-20	13	0.12	1.01
12/21/2017	DS-50-8	10	0.12	1
11/15/2017	CB-10-7	2	0.02	0.99
5/22/2017	Q-30-17	24	0.225	1.02
1/15/2017	C-30-5	10	0.12	1.02
5/10/2017	GY-60-12	117	0.55	0.97
12/10/2017	JB-50-14	1	0	1.02
12/23/2017	Y-10-20	2	0.02	1.01
7/6/2017	DS-50-8	4	0.04	0.99
2/12/2017	DS-50-8	1	0	1
8/1/2017	EK-40-9	8	0.05	1.01
12/6/2017	S-30-18	96	0.5	0.99
8/4/2017	JB-50-14	1	0	1.02
4/13/2017	C-30-5	81	0.5	0.98
4/17/2017	GY-60-13	96	0.5	1
5/3/2017	DS-50-8	4	0.04	1.01
4/2/2017	JB-50-14	132	0.575	0.93
9/14/2017	Q-30-17	1	0	1
8/24/2017	JB-50-14	60	0.4375	0.98
6/18/2017	GY-60-13	11	0.12	1.03
11/18/2017	MB-30-16	3	0.03	0.99
12/10/2017	JB-50-14	115	0.55	0.92
10/29/2017	EK-40-9	10	0.12	1
12/20/2017	BK-40-2	12	0.12	1.01
11/16/2017	JB-50-14	84	0.5	0.95
6/19/2017	BK-40-2	1	0	1.01
11/19/2017	BK-40-2	2	0.02	1.01
4/16/2017	BK-40-2	155	0.575	0.89
4/23/2017	JB-50-14	13	0.12	1.01
8/16/2017	Q-30-17	48	0.4375	1
12/11/2017	JB-50-14	1	0	1.03
7/14/2017	BK-40-2	12	0.12	1.01
12/15/2017	EK-40-9	158	0.575	0.95
4/20/2017	B-30-3	7	0.05	0.99
12/13/2017	TK-40-19	144	0.575	0.94
11/15/2017	BWK-20-4	56	0.4375	0.97
12/8/2017	B-30-3	8	0.05	0.99
12/12/2017	EK-40-9	1	0	1.02
8/5/2017	CB-10-7	14	0.12	0.99
4/22/2017	GY-60-13	2	0.02	1.03
1/1/2017	GY-60-13	36	0.4375	1
12/11/2017	TK-40-19	48	0.4375	0.98
3/23/2017	TK-40-19	11	0.12	1.01
5/2/2017	JB-50-14	2	0.02	1.03
11/24/2017	BK-40-2	10	0.12	1.01
11/27/2017	Q-30-17	3	0.03	1.03
5/7/2017	FK-20-10	9	0.05	1
4/9/2017	Q-30-17	120	0.575	0.97
12/3/2017	A-10-1	2	0.02	1.01
12/4/2017	B-30-3	3	0.03	1.02
10/25/2017	Y-10-20	126	0.575	0.94
12/23/2017	CB-10-7	3	0.03	1.03
4/26/2017	FK-20-10	9	0.05	1.02
6/4/2017	JB-50-14	4	0.04	0.99
3/28/2017	C-30-5	1	0	1.02
11/14/2017	CY-60-6	11	0.12	1.02
12/5/2017	BWK-20-4	1	0	1.02
8/31/2017	Q-30-17	2	0.02	1.03
6/12/2017	TK-40-19	3	0.03	0.99
12/2/2017	CB-10-7	106	0.55	0.97
12/23/2017	CY-60-6	2	0.02	1.03
8/24/2017	JB-50-14	72	0.4375	0.97
6/5/2017	JB-50-14	9	0.05	1
6/12/2017	CY-60-6	3	0.03	1
12/19/2017	BK-40-2	2	0.02	1.01
4/5/2017	DS-50-8	1	0	1.02
12/15/2017	JB-50-14	1	0	1.01
12/19/2017	D-30-11	132	0.575	0.91
11/28/2017	Q-30-17	1	0	1
12/13/2017	MB-30-16	1	0	1.03
6/1/2017	JB-50-14	83	0.5	0.98
8/17/2017	JB-50-14	8	0.05	1.02
12/14/2017	MB-30-16	3	0.03	1
12/10/2017	CB-10-7	1	0	0.99
11/13/2017	CB-10-7	36	0.4375	0.99
11/12/2017	BK-40-2	86	0.5	0.98
11/27/2017	BWK-20-4	1	0	0.99
12/12/2017	Q-30-17	2	0.02	1.03
12/2/2017	DS-50-8	132	0.575	0.99
12/6/2017	DS-50-8	7	0.05	1.01
8/16/2017	C-30-5	144	0.575	0.94
5/15/2017	FK-20-10	8	0.05	1.02
4/26/2017	BK-40-2	12	0.12	1.01
12/1/2017	Q-30-17	4	0.04	0.99
12/23/2017	FK-20-10	126	0.575	0.94
12/22/2017	JB-50-14	3	0.03	1.02
12/1/2017	B-30-3	96	0.5	0.98
6/2/2017	S-30-18	9	0.05	1.01
7/7/2017	A-10-1	9	0.05	1.03
8/30/2017	JB-50-14	2	0.02	1.03
8/23/2017	C-30-5	2	0.02	1.02
6/21/2017	GY-60-13	84	0.5	0.96
7/15/2017	FK-20-10	1	0	1.01
6/23/2017	FK-20-10	2	0.02	0.99
11/29/2017	D-30-11	13	0.12	1
12/9/2017	DS-50-8	157	0.575	0.91
8/16/2017	BK-40-2	40	0.4375	1
12/12/2017	Q-30-17	24	0.225	0.98
1/14/2017	BK-40-2	2	0.02	1
11/29/2017	D-30-11	144	0.575	0.9
7/29/2017	EK-40-9	61	0.4375	0.96
7/10/2017	TK-40-19	152	0.575	0.93
11/21/2017	BK-40-2	24	0.225	1.01
12/9/2017	Y-10-20	60	0.4375	0.96
12/17/2017	BK-40-2	9	0.05	1.03
4/11/2017	MB-30-16	48	0.4375	1.01
8/12/2017	C-30-5	9	0.05	0.99
12/17/2017	BK-40-2	36	0.4375	1.03
11/16/2017	Q-30-17	110	0.55	0.94
7/12/2017	MB-30-16	12	0.12	1.03
12/22/2017	EK-40-9	48	0.4375	1
8/4/2017	BK-40-2	3	0.03	1.03
12/18/2017	BK-40-2	14	0.12	1
10/4/2017	DS-50-8	10	0.12	0.99
6/1/2017	JB-50-14	4	0.04	0.99
4/12/2017	CB-10-7	119	0.55	0.97
11/19/2017	MB-30-16	48	0.4375	1.02
12/6/2017	DS-50-8	60	0.4375	0.93
8/17/2017	JB-50-14	3	0.03	0.99
4/16/2017	B-30-3	8	0.05	1.03
12/15/2017	JS-50-15	12	0.12	1.01
4/1/2017	BK-40-2	2	0.02	1.02
11/18/2017	S-30-18	9	0.05	0.99
7/29/2017	BK-40-2	13	0.12	1.01
6/7/2017	BK-40-2	48	0.4375	1.01
12/23/2017	Q-30-17	13	0.12	0.99
11/27/2017	BK-40-2	12	0.12	1.01
1/15/2017	Y-10-20	14	0.12	1
7/9/2017	MB-30-16	24	0.225	1
12/19/2017	FK-20-10	8	0.05	1
12/12/2017	DS-50-8	24	0.225	1.02
11/12/2017	Q-30-17	1	0	1
5/18/2017	D-30-11	144	0.575	0.9
7/14/2017	BK-40-2	3	0.03	1.01
1/19/2017	BK-40-2	48	0.4375	1
5/2/2017	JB-50-14	120	0.575	0.94
5/9/2017	BWK-20-4	40	0.4375	1.01
11/22/2017	S-30-18	58	0.4375	0.98
6/11/2017	Y-10-20	9	0.05	1.03
4/23/2017	EK-40-9	120	0.575	0.96
12/16/2017	Q-30-17	10	0.12	1.01
12/15/2017	BWK-20-4	12	0.12	0.99
11/29/2017	DS-50-8	60	0.4375	0.96
12/21/2017	FK-20-10	96	0.5	0.99
11/27/2017	BK-40-2	4	0.04	1.01
12/1/2017	BK-40-2	1	0	1.03
4/25/2017	D-30-11	3	0.03	0.99
5/28/2017	MB-30-16	1	0	1
5/27/2017	Y-10-20	96	0.5	0.99
10/26/2017	MB-30-16	55	0.4375	0.97
11/21/2017	Y-10-20	2	0.02	1.01
1/16/2017	JS-50-15	1	0	0.99
5/26/2017	DS-50-8	84	0.5	0.97
8/1/2017	JB-50-14	4	0.04	1.01
8/23/2017	JB-50-14	5	0.05	0.99
12/25/2017	GY-60-12	4	0.04	1.01
7/23/2017	BK-40-2	3	0.03	1.02
11/11/2017	BK-40-2	1	0	1.02
4/20/2017	S-30-18	20	0.225	0.99
12/2/2017	BK-40-2	38	0.4375	1.03
11/26/2017	EK-40-9	2	0.02	0.99
6/18/2017	D-30-11	23	0.225	1.01
8/26/2017	MB-30-16	114	0.55	0.92
6/10/2017	DS-50-8	13	0.12	1.03
11/19/2017	DS-50-8	1	0	1.03
6/28/2017	DS-50-8	1	0	0.99
11/12/2017	JB-50-14	1	0	1.01
12/13/2017	TK-40-19	2	0.02	0.99
11/14/2017	JB-50-14	4	0.04	1.01
7/21/2017	A-10-1	3	0.03	1
4/2/2017	BK-40-2	10	0.12	1.01
1/22/2017	CY-60-6	29	0.3225	0.98
12/16/2017	TK-40-19	1	0	1.03
12/3/2017	MB-30-16	60	0.4375	0.94
12/5/2017	CB-10-7	108	0.55	0.94
11/23/2017	S-30-18	2	0.02	1
11/26/2017	DS-50-8	9	0.05	1.01
12/14/2017	D-30-11	24	0.225	1.03
11/30/2017	BWK-20-4	1	0	1
1/29/2017	FK-20-10	60	0.4375	0.99
10/9/2017	JB-50-14	10	0.12	0.99
11/14/2017	FK-20-10	144	0.575	0.95
12/1/2017	DS-50-8	48	0.4375	0.98
1/27/2017	Q-30-17	2	0.02	1.03
12/21/2017	Q-30-17	72	0.4375	0.99
11/26/2017	JB-50-14	6	0.05	0.99
11/16/2017	BK-40-2	12	0.12	1
12/20/2017	BK-40-2	21	0.225	0.99
12/2/2017	S-30-18	11	0.12	0.99
12/11/2017	BK-40-2	2	0.02	1
12/18/2017	C-30-5	24	0.225	1
4/17/2017	JS-50-15	24	0.225	0.98
11/30/2017	S-30-18	1	0	1
8/4/2017	GY-60-13	2	0.02	1.02
3/24/2017	JB-50-14	72	0.4375	0.97
7/11/2017	BK-40-2	11	0.12	1.02
12/11/2017	C-30-5	1	0	0.99
4/8/2017	MB-30-16	1	0	1.01
6/1/2017	JS-50-15	133	0.575	0.99
8/25/2017	FK-20-10	2	0.02	0.99
11/27/2017	MB-30-16	10	0.12	1
12/19/2017	Q-30-17	1	0	1.01
12/22/2017	Q-30-17	28	0.3225	1
12/16/2017	B-30-3	4	0.04	1
12/1/2017	BWK-20-4	1	0	1.02
12/14/2017	JB-50-14	7	0.05	1.02
11/27/2017	BK-40-2	36	0.4375	1.02
8/19/2017	Y-10-20	2	0.02	0.99
12/3/2017	B-30-3	36	0.4375	0.98
12/5/2017	GY-60-13	2	0.02	0.99
7/28/2017	BWK-20-4	1	0	1.03
12/9/2017	Q-30-17	1	0	1.02
